ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Cash_Demand_Next_Day
ATM_0045,11/5/2022,Saturday,Morning,51111,1483,0,0,98889,Snowy,48807
ATM_0028,11/9/2023,Thursday,Evening,18988,9554,0,0,73910,Snowy,10373
ATM_0027,5/17/2023,Wednesday,Morning,60045,11832,0,1,81202,Cloudy,51443
ATM_0010,3/22/2023,Wednesday,Afternoon,49059,14775,0,1,80285,Snowy,42331
ATM_0035,5/11/2023,Thursday,Night,57560,7348,0,0,84142,Snowy,46123
ATM_0016,3/30/2022,Wednesday,Evening,48394,4823,0,0,88927,Cloudy,44383
ATM_0040,11/16/2023,Thursday,Night,32031,6501,0,0,104279,Snowy,30573
ATM_0032,8/6/2022,Saturday,Evening,48315,8895,0,0,112283,Snowy,36839
ATM_0001,6/14/2023,Wednesday,Afternoon,61362,8624,0,0,53961,Cloudy,58361
ATM_0036,9/4/2022,Sunday,Night,74674,8754,0,0,111531,Clear,68316
ATM_0019,8/15/2022,Monday,Night,54668,9360,0,0,80889,Snowy,49566
ATM_0036,6/28/2023,Wednesday,Evening,38654,2888,0,1,87068,Snowy,37044
ATM_0045,4/10/2023,Monday,Evening,33776,18435,0,0,117632,Clear,23870
ATM_0013,11/20/2022,Sunday,Morning,51160,5693,0,1,130462,Rainy,53551
ATM_0014,5/11/2023,Thursday,Evening,58083,5621,0,1,72344,Snowy,64058
ATM_0013,10/31/2022,Monday,Afternoon,29021,12814,0,0,86987,Clear,17148
ATM_0035,5/10/2022,Tuesday,Evening,42693,10242,0,1,83380,Snowy,38011
ATM_0009,10/16/2023,Monday,Night,46415,5462,0,0,88464,Snowy,35747
ATM_0031,3/28/2023,Tuesday,Evening,61330,10496,0,1,115027,Snowy,63369
ATM_0008,3/8/2022,Tuesday,Night,40060,12852,0,0,84734,Clear,32198
ATM_0010,7/31/2023,Monday,Evening,22926,11298,0,1,81913,Clear,19055
ATM_0049,3/3/2023,Friday,Afternoon,49008,3944,0,0,86963,Cloudy,43567
ATM_0038,3/16/2023,Thursday,Evening,50710,15031,0,0,88462,Clear,33095
ATM_0041,8/5/2022,Friday,Evening,57947,17207,0,0,50567,Rainy,37843
ATM_0005,6/10/2022,Friday,Morning,38046,11855,0,0,87920,Cloudy,37715
ATM_0003,8/26/2022,Friday,Evening,51298,9221,0,0,123355,Cloudy,35629
ATM_0044,8/28/2022,Sunday,Evening,53816,7561,0,0,91348,Rainy,39728
ATM_0008,7/12/2023,Wednesday,Afternoon,54346,20377,0,1,117422,Rainy,40499
ATM_0004,6/19/2022,Sunday,Evening,45109,0,0,0,79838,Snowy,44435
ATM_0008,4/25/2023,Tuesday,Evening,50276,18382,0,1,106538,Cloudy,40754
ATM_0006,9/5/2023,Tuesday,Morning,46713,11178,0,0,115417,Snowy,28712
ATM_0006,8/23/2022,Tuesday,Morning,27821,15718,0,0,106769,Rainy,17105
ATM_0034,10/30/2023,Monday,Night,43770,10909,0,0,104964,Cloudy,30516
ATM_0032,4/4/2022,Monday,Night,62455,5719,0,0,101431,Snowy,63645
ATM_0007,6/14/2022,Tuesday,Evening,42835,15187,0,0,89799,Snowy,22142
ATM_0026,7/18/2023,Tuesday,Morning,45951,5106,0,0,91114,Snowy,36577
ATM_0008,2/18/2023,Saturday,Morning,55659,14348,0,0,127112,Clear,48909
ATM_0034,1/6/2023,Friday,Night,38393,3776,0,0,64425,Rainy,34133
ATM_0036,5/15/2022,Sunday,Evening,72440,11399,0,0,77490,Cloudy,63426
ATM_0002,10/8/2023,Sunday,Afternoon,51640,13628,0,0,109620,Clear,48067
ATM_0027,4/6/2022,Wednesday,Afternoon,53358,19410,0,0,126908,Clear,34886
ATM_0010,5/26/2023,Friday,Evening,35155,9371,0,0,101114,Cloudy,29883
ATM_0031,9/7/2022,Wednesday,Night,66412,9209,0,0,91462,Rainy,69831
ATM_0033,5/20/2022,Friday,Morning,34818,1725,0,0,116463,Cloudy,31516
ATM_0033,10/1/2022,Saturday,Morning,51099,8321,0,0,133380,Cloudy,39427
ATM_0029,7/6/2023,Thursday,Night,46313,8636,0,0,46062,Cloudy,48115
ATM_0021,7/13/2022,Wednesday,Afternoon,49185,19244,0,0,122531,Cloudy,23599
ATM_0021,4/30/2023,Sunday,Night,45966,4467,0,1,151467,Rainy,41097
ATM_0003,5/10/2022,Tuesday,Evening,50888,10990,0,0,97112,Cloudy,38343
ATM_0034,4/13/2023,Thursday,Morning,49508,7282,0,0,85743,Rainy,49672
ATM_0031,9/29/2022,Thursday,Evening,51596,0,0,0,121830,Clear,49547
ATM_0044,7/1/2023,Saturday,Night,44859,8142,0,0,71849,Cloudy,41707
ATM_0003,9/25/2023,Monday,Morning,38332,14678,0,0,125431,Snowy,22113
ATM_0048,4/3/2022,Sunday,Night,60825,4354,0,0,89509,Clear,61845
ATM_0011,12/12/2023,Tuesday,Evening,57340,8798,0,0,92503,Clear,54274
ATM_0023,1/19/2023,Thursday,Night,44585,15796,0,0,78378,Cloudy,25918
ATM_0044,7/4/2022,Monday,Afternoon,59239,11630,0,0,74977,Cloudy,46371
ATM_0044,9/4/2022,Sunday,Night,42159,15245,0,0,85913,Cloudy,34015
ATM_0017,4/16/2023,Sunday,Evening,28873,3597,0,0,135095,Cloudy,26891
ATM_0044,7/14/2023,Friday,Afternoon,53165,9516,0,0,89101,Snowy,53923
ATM_0020,10/17/2023,Tuesday,Night,55987,10571,0,0,103006,Snowy,48907
ATM_0025,5/10/2023,Wednesday,Morning,54617,1449,0,0,73036,Snowy,45408
ATM_0019,12/18/2023,Monday,Evening,61148,10092,0,1,106951,Cloudy,53697
ATM_0001,8/3/2023,Thursday,Morning,52937,5108,0,0,108165,Snowy,51470
ATM_0039,12/27/2022,Tuesday,Afternoon,24461,11280,0,0,119653,Rainy,16053
ATM_0007,10/5/2023,Thursday,Morning,22386,3602,0,0,87503,Clear,16267
ATM_0024,5/15/2022,Sunday,Morning,50391,10933,0,0,84892,Cloudy,37663
ATM_0013,5/16/2022,Monday,Evening,36151,3241,0,0,80482,Snowy,34719
ATM_0017,5/9/2023,Tuesday,Evening,65804,12466,0,0,103696,Cloudy,64352
ATM_0010,8/20/2022,Saturday,Night,41365,10610,0,0,151201,Cloudy,29227
ATM_0017,7/4/2023,Tuesday,Morning,48559,9825,0,0,135416,Snowy,45169
ATM_0025,10/16/2023,Monday,Evening,60616,7187,0,0,112648,Cloudy,49376
ATM_0040,7/29/2023,Saturday,Evening,64588,6364,0,0,95049,Clear,71752
ATM_0030,12/19/2023,Tuesday,Evening,48883,13103,0,0,103554,Clear,44826
ATM_0020,5/20/2023,Saturday,Morning,29969,12798,0,0,121615,Rainy,20440
ATM_0030,1/15/2023,Sunday,Night,48947,1695,0,0,108592,Rainy,41364
ATM_0042,4/12/2022,Tuesday,Night,53115,4594,0,0,121063,Snowy,57604
ATM_0045,1/15/2023,Sunday,Afternoon,49406,13407,0,0,100566,Rainy,33570
ATM_0007,12/4/2023,Monday,Evening,50446,10480,0,1,90754,Snowy,46126
ATM_0026,10/10/2022,Monday,Afternoon,53332,7606,0,1,125115,Cloudy,46057
ATM_0043,8/6/2022,Saturday,Morning,36580,17234,0,0,103931,Rainy,19917
ATM_0037,7/30/2022,Saturday,Morning,54005,14448,0,0,101645,Rainy,50495
ATM_0022,6/1/2022,Wednesday,Morning,65982,7413,0,0,128186,Rainy,59418
ATM_0035,9/14/2022,Wednesday,Afternoon,43317,17266,0,0,131591,Clear,29204
ATM_0001,1/2/2023,Monday,Afternoon,42157,3277,0,0,81626,Rainy,36700
ATM_0004,5/10/2022,Tuesday,Night,49479,11171,0,0,131010,Clear,33011
ATM_0029,1/6/2023,Friday,Morning,35024,14921,0,0,95720,Clear,30306
ATM_0043,6/18/2023,Sunday,Evening,33159,11912,0,0,103329,Clear,25578
ATM_0031,2/16/2023,Thursday,Night,57386,6811,0,0,89380,Cloudy,46929
ATM_0006,11/26/2022,Saturday,Afternoon,40439,15945,0,0,128410,Snowy,34410
ATM_0039,6/28/2023,Wednesday,Evening,41438,7238,0,0,112658,Cloudy,31297
ATM_0045,4/28/2022,Thursday,Afternoon,73212,18979,0,0,87744,Rainy,66038
ATM_0022,4/10/2023,Monday,Night,44184,11429,0,0,106689,Snowy,38065
ATM_0021,11/13/2023,Monday,Evening,47345,6008,0,1,72413,Cloudy,54082
ATM_0006,3/29/2022,Tuesday,Morning,39036,7411,0,0,104475,Snowy,38979
ATM_0036,3/3/2022,Thursday,Evening,87903,7345,0,0,90211,Cloudy,88412
ATM_0004,10/22/2022,Saturday,Evening,65662,12919,0,0,92814,Rainy,62761
ATM_0043,5/9/2023,Tuesday,Afternoon,62307,12536,0,0,121333,Snowy,54277
ATM_0049,10/13/2022,Thursday,Afternoon,67539,9164,0,0,102934,Clear,55095
ATM_0043,12/12/2023,Tuesday,Evening,55530,8033,0,0,100574,Snowy,39396
ATM_0023,1/7/2022,Friday,Afternoon,69176,10955,0,0,100928,Cloudy,65922
ATM_0010,10/11/2023,Wednesday,Morning,59682,20816,0,0,93844,Rainy,49871
ATM_0027,4/10/2023,Monday,Evening,53287,9523,0,0,105580,Snowy,46914
ATM_0039,3/28/2022,Monday,Morning,43303,10970,0,0,121472,Clear,27130
ATM_0006,10/6/2022,Thursday,Night,34602,15975,0,0,69536,Cloudy,13365
ATM_0018,8/9/2022,Tuesday,Morning,41616,11886,0,0,131310,Snowy,36074
ATM_0044,8/31/2023,Thursday,Night,49013,2759,0,0,56023,Clear,39942
ATM_0026,9/6/2023,Wednesday,Morning,34681,13541,0,0,104876,Rainy,28203
ATM_0049,9/19/2022,Monday,Evening,41538,13251,0,0,98016,Cloudy,29348
ATM_0028,6/29/2022,Wednesday,Afternoon,27117,6540,0,0,99088,Rainy,27369
ATM_0036,11/16/2023,Thursday,Evening,53650,3742,0,0,128875,Clear,58712
ATM_0002,4/16/2023,Sunday,Morning,55140,12283,0,0,111395,Cloudy,50909
ATM_0041,3/4/2023,Saturday,Evening,56715,10982,0,0,114180,Snowy,55307
ATM_0040,4/17/2023,Monday,Evening,39854,19004,0,0,99196,Clear,17874
ATM_0028,8/27/2023,Sunday,Night,28538,14203,0,0,86947,Snowy,16038
ATM_0022,8/15/2022,Monday,Evening,43215,0,0,0,68321,Clear,46585
ATM_0033,7/18/2022,Monday,Evening,61406,5165,0,0,99045,Rainy,49939
ATM_0007,5/30/2022,Monday,Evening,49945,4208,0,0,130067,Rainy,49012
ATM_0005,7/1/2022,Friday,Night,63160,11041,0,0,59165,Cloudy,45291
ATM_0037,10/21/2023,Saturday,Evening,34975,8594,0,0,135953,Clear,34023
ATM_0029,10/9/2023,Monday,Evening,59612,16996,0,0,118492,Snowy,31988
ATM_0005,11/14/2022,Monday,Night,50894,6765,0,0,113964,Snowy,49157
ATM_0005,10/23/2023,Monday,Morning,55902,15247,0,0,89295,Cloudy,32067
ATM_0038,7/22/2023,Saturday,Morning,69760,10987,0,1,141505,Rainy,67984
ATM_0039,5/3/2023,Wednesday,Afternoon,39662,6742,0,0,90322,Snowy,41450
ATM_0006,6/1/2023,Thursday,Afternoon,57842,7131,0,0,99512,Cloudy,52993
ATM_0034,6/20/2023,Tuesday,Afternoon,82134,10190,0,0,102400,Snowy,63702
ATM_0027,12/13/2022,Tuesday,Morning,46139,1657,0,0,107984,Clear,49437
ATM_0044,1/31/2023,Tuesday,Evening,59707,3871,1,0,70712,Rainy,74340
ATM_0006,8/20/2023,Sunday,Afternoon,53366,15235,0,0,133678,Cloudy,38810
ATM_0039,12/27/2023,Wednesday,Morning,43116,9136,0,0,117673,Snowy,31993
ATM_0043,12/21/2023,Thursday,Morning,72148,16900,0,0,87488,Clear,62245
ATM_0020,7/4/2022,Monday,Afternoon,55937,7248,0,1,86567,Cloudy,69204
ATM_0015,5/21/2022,Saturday,Afternoon,49616,15863,0,0,110872,Clear,36515
ATM_0050,7/7/2023,Friday,Morning,44440,15743,0,0,65205,Rainy,27508
ATM_0025,6/7/2022,Tuesday,Afternoon,30579,15804,0,0,90645,Rainy,24837
ATM_0029,2/14/2022,Monday,Night,55197,10384,0,0,74340,Rainy,42102
ATM_0040,10/19/2022,Wednesday,Night,26651,7859,0,0,130015,Snowy,18513
ATM_0013,1/12/2023,Thursday,Night,62753,8391,0,0,141534,Cloudy,63816
ATM_0034,3/5/2023,Sunday,Afternoon,65454,11193,0,0,94819,Rainy,53509
ATM_0004,10/19/2023,Thursday,Night,47054,13638,0,0,101038,Clear,30732
ATM_0034,5/8/2022,Sunday,Evening,60989,9596,0,0,101572,Snowy,44295
ATM_0033,5/31/2022,Tuesday,Night,20026,14581,0,1,106929,Rainy,15613
ATM_0023,1/28/2022,Friday,Night,81325,9302,0,0,122163,Snowy,63843
ATM_0025,3/25/2022,Friday,Evening,34401,6881,0,0,138280,Clear,35416
ATM_0042,12/10/2022,Saturday,Afternoon,63051,12478,0,0,103008,Cloudy,52885
ATM_0009,12/24/2023,Sunday,Night,55474,11005,1,0,121013,Clear,39428
ATM_0017,8/9/2022,Tuesday,Afternoon,66582,15935,0,1,112774,Cloudy,57599
ATM_0050,10/23/2022,Sunday,Afternoon,32854,11513,0,0,84914,Rainy,33383
ATM_0041,9/30/2023,Saturday,Night,49037,11643,0,0,106427,Cloudy,40231
ATM_0035,1/17/2022,Monday,Afternoon,56328,8779,0,0,119281,Clear,45110
ATM_0023,9/4/2022,Sunday,Night,58961,13505,0,0,94048,Clear,58892
ATM_0024,3/11/2022,Friday,Morning,70635,9134,0,0,100311,Clear,59438
ATM_0025,1/18/2023,Wednesday,Evening,73917,5765,0,0,80172,Clear,62198
ATM_0016,11/4/2023,Saturday,Morning,17699,18210,0,0,120196,Snowy,5219
ATM_0003,12/27/2022,Tuesday,Evening,64726,8375,0,0,50011,Cloudy,46828
ATM_0031,10/9/2023,Monday,Afternoon,84364,3052,0,0,67092,Cloudy,84729
ATM_0019,7/26/2022,Tuesday,Morning,70764,12819,0,0,111895,Snowy,77131
ATM_0033,2/12/2023,Sunday,Night,62801,13794,0,0,105623,Rainy,43066
ATM_0023,2/18/2022,Friday,Evening,38690,8596,0,0,66140,Snowy,29741
ATM_0026,3/27/2023,Monday,Night,48524,10899,0,1,127840,Cloudy,43086
ATM_0032,1/12/2023,Thursday,Evening,35155,14703,0,0,80350,Clear,18312
ATM_0039,7/4/2022,Monday,Evening,46630,10526,0,0,73319,Snowy,44703
ATM_0019,11/10/2022,Thursday,Night,26105,12202,0,0,99607,Rainy,19842
ATM_0029,12/26/2022,Monday,Night,58287,10626,0,0,91411,Snowy,60302
ATM_0028,10/9/2022,Sunday,Morning,50732,10202,0,0,85960,Cloudy,45786
ATM_0033,11/27/2023,Monday,Afternoon,40056,3780,0,0,86141,Cloudy,42141
ATM_0009,3/10/2022,Thursday,Afternoon,45575,16238,0,0,86530,Clear,36046
ATM_0010,11/27/2023,Monday,Night,54184,4062,0,0,106196,Clear,55534
ATM_0009,6/27/2023,Tuesday,Evening,47220,9350,0,0,100876,Snowy,42011
ATM_0008,1/27/2022,Thursday,Afternoon,47794,7212,0,0,72603,Clear,44202
ATM_0050,9/24/2022,Saturday,Night,37944,18195,0,1,133554,Snowy,29749
ATM_0032,7/24/2022,Sunday,Morning,41696,12844,0,0,132567,Cloudy,30997
ATM_0046,4/1/2023,Saturday,Morning,41274,4926,0,0,87014,Clear,30423
ATM_0035,10/25/2022,Tuesday,Evening,31640,11168,0,0,68882,Rainy,27231
ATM_0033,8/18/2022,Thursday,Morning,20093,11870,0,0,124553,Rainy,14201
ATM_0002,1/5/2023,Thursday,Evening,31855,18362,0,0,108380,Rainy,21678
ATM_0006,3/9/2022,Wednesday,Evening,58374,10380,0,1,110775,Cloudy,50419
ATM_0027,2/24/2023,Friday,Morning,36189,9443,0,1,81921,Clear,40534
ATM_0030,11/28/2023,Tuesday,Evening,66369,13045,0,0,78153,Rainy,66874
ATM_0028,5/30/2023,Tuesday,Morning,45253,16065,0,0,102834,Snowy,32590
ATM_0011,11/27/2022,Sunday,Afternoon,52880,8454,0,1,102670,Snowy,58622
ATM_0017,7/21/2022,Thursday,Evening,47712,6070,0,0,73375,Clear,33963
ATM_0042,6/22/2022,Wednesday,Afternoon,22456,12539,0,0,77932,Snowy,13857
ATM_0003,1/30/2022,Sunday,Morning,17706,9969,0,1,116769,Snowy,18963
ATM_0014,8/9/2023,Wednesday,Night,51227,9505,0,0,118381,Cloudy,50186
ATM_0035,10/24/2022,Monday,Evening,45645,6659,0,0,119840,Cloudy,33322
ATM_0030,3/16/2022,Wednesday,Morning,58047,5507,0,0,100563,Cloudy,56302
ATM_0014,12/15/2022,Thursday,Afternoon,49863,9874,0,0,116355,Snowy,43269
ATM_0023,2/13/2023,Monday,Afternoon,50155,3440,0,0,78697,Clear,45660
ATM_0016,4/23/2023,Sunday,Morning,45421,10283,0,0,110593,Rainy,46519
ATM_0004,10/25/2022,Tuesday,Night,50967,122,0,0,81213,Rainy,53763
ATM_0037,11/17/2022,Thursday,Afternoon,47838,17653,0,0,124375,Cloudy,31811
ATM_0020,5/25/2023,Thursday,Morning,46798,17453,0,1,102973,Cloudy,52038
ATM_0014,8/21/2023,Monday,Evening,44943,6932,0,0,93950,Cloudy,44715
ATM_0042,11/20/2023,Monday,Night,52408,10015,0,0,108738,Clear,40214
ATM_0009,9/28/2022,Wednesday,Evening,67859,0,0,0,118686,Cloudy,57835
ATM_0037,7/30/2023,Sunday,Afternoon,29496,8876,0,0,76597,Clear,25666
ATM_0033,4/7/2023,Friday,Evening,22970,7117,0,0,48179,Clear,14069
ATM_0007,2/8/2023,Wednesday,Evening,41806,11959,0,0,70421,Snowy,26225
ATM_0013,9/9/2023,Saturday,Night,52750,9923,0,0,111585,Clear,36835
ATM_0046,12/8/2022,Thursday,Night,67948,9207,0,0,99453,Rainy,52338
ATM_0040,11/23/2022,Wednesday,Afternoon,36000,9135,0,1,134234,Snowy,34843
ATM_0022,6/4/2023,Sunday,Night,72067,8953,0,0,86618,Clear,71054
ATM_0022,11/21/2023,Tuesday,Morning,65598,13389,0,0,90241,Clear,40755
ATM_0031,9/29/2022,Thursday,Afternoon,82359,6971,0,0,114841,Rainy,81236
ATM_0041,9/27/2023,Wednesday,Night,54489,10160,0,0,84931,Rainy,38038
ATM_0037,12/19/2023,Tuesday,Morning,80200,10682,0,0,92693,Snowy,61040
ATM_0010,2/27/2023,Monday,Afternoon,52770,3264,0,0,80567,Cloudy,46701
ATM_0047,3/5/2022,Saturday,Afternoon,34296,12683,0,0,123714,Snowy,24598
ATM_0031,6/23/2023,Friday,Night,60784,14980,0,1,84864,Cloudy,60464
ATM_0022,7/14/2023,Friday,Evening,45159,8745,0,0,126563,Rainy,41067
ATM_0018,7/26/2023,Wednesday,Evening,58343,6782,0,1,118556,Snowy,71112
ATM_0046,8/1/2022,Monday,Night,72927,12539,0,0,110765,Snowy,53687
ATM_0008,8/11/2023,Friday,Night,66087,4775,0,0,60672,Rainy,60634
ATM_0003,10/22/2022,Saturday,Morning,46681,8615,0,1,106148,Snowy,41861
ATM_0031,8/8/2022,Monday,Afternoon,62236,9164,0,0,105651,Snowy,61892
